Date,Org,category,breach_count(Million),employee_count,data_classes
10-2017,Yahoo,web services,3000,8600,Security questions and answers
03-2018,UIDAI,AADHAR,1100,,"Names,Aadhar number,Bank account numbers"
2014,Yahoo,web services,500,8600,"Names,Email addresses,Phone numbers,Passwords,Dates of birth,Security questions and answers"
06-2013,MySpace,social media,360,150,"Names,Usernames,Dates of birth"
06-2018,Exactis,web services,340,,"Phone numbers,Physical addresses,Email addresses,Personal interests,Family structure,Family members' names"
05-2018,Twitter,social media,330,5500,Passwords
10-2013,Adobe,e commerce,152,22516,"Usernames,Email addresses,Passwords,Password hints"
02-2018,MyFitnessPal,health,150,,"Email addresses,IP addresses,Usernames,Passwords"
09-2017,Equifax,web services,148,11200,"Names,Physical addresses,Phone numbers,Dates of birth,Social security numbers,driver’s license numbers,Credit cards"
03-2014,ebay,e commerce,145,13300,"Names,Email addresses,Physical addresses,Phone numbers,Dates of birth,Passwords"
05-2019,Canva,web services,137,1500,"Email addresses,Names,Usernames,Physical addresses,Passwords"
06-2018,Apollo,health,126,62939,"Names,Email addresses,Geographic locations,Employment statuses,Physical addresses"
12-2018,Quora,social media,100,250,"Names,Email addresses,Passwords"
12-2016,Youku,web services,92,2104,"Usernames,Passwords"
10-2016,Dailymotion,entertainment,85,44641,"Email addresses,Usernames,Passwords"
2012,Dropbox,web services,69,2548,"Email addresses,Passwords"
02-2013,tumblr,social media,66,411,"Email addresses,Passwords"
01-2021,Bonobos,e commerce,12.3,,"Physical addresses,Purchasing habits,Buying preferences,Partial credit card data"
01-2021,Pixlr,web services,1.9,10300,"Usernames,Email addresses,Geographic locations,Passwords"
04-2020,Zoom,web services,0.5,2532,"Usernames,Email addresses,Passwords"
04-2020,Nintendo,entertainment,0.3,6547,"Passwords,Names,Dates of birth,Email addresses,Physical addresses"
10-2016,Hitachi Payment Services System,e commerce,3.2,295941,"debit card number,PINs"
01-2019,SBI,e commerce,3.5,245642,"Phone numbers,Bank account numbers,Account balances,Financial transactions"
04-2019,Justdial,web services,100,10984,"Names,Phone numbers,Email addresses,Employment statuses,Physical addresses"
10-2019,Multiple Indian Banks,e commerce,1.3,,"Names,Email addresses,Passwords,Physical addresses"
11-2020,BigBasket,e commerce,20,,"Email addresses,Phone numbers,Purchases,Physical addresses"
05-2020,Unacademy,education,20,4859,"Usernames,Passwords,date joined,last login date,Email addresses,Names,Passwords"
05-2021,Air India,airlines,4.5,9993,"Passport numbers,Credit cards,Dates of birth,Names,Purchases"
05-2021,Dominos,e commerce,180,14400,"Purchases,Email addresses,Phone numbers,Credit cards"
